Im więcej się uczę, tym więcej wiem.
Im więcej rozumiem, tym bardziej jestem pewny siebie.
Im droższa restauracja, tym lepsza obsługa.
Im więcej płacisz, tym lepszą jakość dostajesz.
Im mniej pracuję, tym mniej zarabiam.
Im jest starszy, tym mniej ma przyjaciół.
Im więcej o tym myślisz, tym gorzej dla ciebie.
Im szybciej jeździsz, tym więcej paliwa spala twój samochód.
Im więcej czasu z tobą spędzam, tym bardziej cię lubię.
Im dłużej czekała, tym bardziej była zdenerwowana.
Im więcej o tym myślę, tym bardziej jestem przekonany.
Jakiego rozmiaru ekran chcesz kupić?
Im większy, tym lepszy.
Im wcześniej wyjdziesz, tym wcześniej tam dotrzesz.
Im więcej zainwestujemy, tym większe ryzyko.
Im szybciej, tym lepiej.
Im bliżej centrum, tym drożej.
Im później się zjawisz, tym później zaczniemy.
Im bardziej się w to angażuję, tym bardziej staje się to interesujące.
Im więcej sprzedamy, tym więcej osiągniemy zysku.
Im dłużej tu popracujesz, tym więcej otrzymasz świadczeń.
Czy zgadzasz się, że im większa firma, tym lepsze oferuje perspektywy?
Im większe miasto, tym większe twoje szanse.
Im starsze wino, tym więcej warte.
Czy zgadzasz się, że im gorsza praca, tym trudniej jest odejść?
Im bardziej się starasz, tym lepsze osiągasz rezultaty.
Im dalej idziemy, tym więcej niebezpieczeństwa napotykamy.
Im większy problem, tym więcej czasu potrzeba na jego rozwiązanie.
Im więcej będziesz o tym myśleć, tym trudniejsze ci się to wyda.
Oczywiście, że możesz przyjść na przyjęcie. Im więcej osób, tym weselej.
---
The more I study, the more I know.
The more I understand, the more confident I am.
The more expensive the restaurant, the better the service.
The more you pay, the better quality you get.
The less I work, the less I earn.
The older he gets, the fewer friends he has.
The more you think about it, the worse for you.
The faster you drive, the more petrol your car consumes.
The more time I spend with you, the more I like you.
The longer she waited, the more nervous she became.
The more I think about it, the more convinced I am.
What size screen do you want to buy?
The bigger, the better.
The earlier you leave, the sooner you’ll get there.
The more we invest, the higher the risk.
The sooner, the better.
The closer to the centre, the more expensive.
The later you turn up, the later we will start.
The more I engage in it, the more interesting it gets.
The more we sell, the more profit we’ll make.
The longer you work here, the more fringe benefits you will get.
Do you agree that the larger the company is, the better prospects it offers?
The bigger the city, the bigger your chances.
The older the wine, the more it is worth.
Do you agree that the worse the job, the harder it is to leave?
The harder you try, the better results you achieve.
The further we go, the more danger we meet with.
The greater the problem, the more time it takes to solve it.
The more you think of it, the harder it will seem.
Of course you can come to the party. The more, the merrier.
